winery,country,provinces,prices,scores,designations,varieties,num_wines
Stemmler,{US},{California},"{42.0, 44.0}","{90, 91, 92, 93}","{Winside Vineyard, Anderson Valley, Nugent Vineyard, Ferguson Cuttings, Ferguson Block}",{Pinot Noir},10
Steorra,{US},{California},{23.0},{90},{Brut},{Sparkling Blend},1
Stephan Ehlen,{Germany},{Mosel-Saar-Ruwer},"{99.0, 144.0, 20.0, 22.0, 24.0}","{85, 88, 90, 91, 93}","{Erdener Treppchen Trockenbeerenauslese, Erdener Treppchen Kabinett, Ehlen Kabinett*, Erdener Treppchen Beerenauslese, Erdener Treppchen Spätlese*}",{Riesling},5
Stephane Tissot,{France},{France Other},{33.0},{87},{Singulier},{Trousseau},1
Stephanie,{US},{California},"{65.0, 60.0}","{88, 92}","{Proprietary Red Wine, Red Wine}",{Bordeaux-style Red Blend},2
Stephen & Walker,{US},{California},"{65.0, 38.0}","{88, 91, 86}","{Trust Winery Limited, Patrona}","{Chardonnay, Muscat Canelli}",4
Stephen Ross,{US},{California},"{32.0, 36.0, 38.0, 40.0, 42.0, 50.0, 20.0, 52.0, 22.0, 24.0, 25.0, 56.0, 28.0, 30.0}","{86, 87, 88, 89, 90, 91, 92, 93, 94}","{Stone Corral Vineyard, Bien Nacido Vineyard, Bien Nacido Vineyards, Chorro Creek Vineyard, Rosé of}","{Pinot Noir, Chardonnay, Pinot Gris, Zinfandel, Grenache}",37
Stephen Vincent,{US},{California},"{17.0, 11.0}","{90, 84}","{Crimson, Crimson Republica de'California}",{Red Blend},2
Stephen's,{US},{California},"{18.0, 30.0, 14.0}","{84, 85, 87}","{Stromsoe Vineyard, Encell Vineyard, Moore Vineyard, MacBride Vineyard}","{Pinot Noir, Pinot Grigio, Chardonnay}",5
Steppe Cellars,{US},{Washington},{28.0},{88},{StoneTree Vineyard},"{Malbec, Red Blend}",2
Stepping Stone by Cornerstone,{US},{California},{20.0},{88},{Corallina Rosé of Syrah},{Rosé},1
Sterling,{US},{California},"{65.0, 35.0, 70.0, 40.0, 10.0, 75.0, 11.0, 13.0, 14.0, 15.0, 16.0, 45.0, 50.0, 55.0, 26.0}","{82, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93}","{Vintner's Collection, Reserve, Cellar Club, Platinum, SVR Reserve}","{Cabernet Sauvignon, Merlot, Sauvignon Blanc, White Blend, Pinot Noir}",28
Steven Kent,{US},{California},"{65.0, 34.0, 100.0, 75.0, 45.0, 50.0, 24.0, 155.0, 60.0}","{86, 87, 88, 89, 90, 91, 92, 93, 95}","{Ghielmetti Vineyard, The Premier, Home Ranch Vineyard, Smith Ranch, Lola Ghielmetti Vineyard}","{Cabernet Sauvignon, Cabernet Franc, Malbec, Petit Verdot, Chardonnay}",32
Stevenot,{US},{California},"{11.0, 12.0, 22.0}","{89, 86, 87}","{Rosado, Persuasion, Danza Roja, Gran Reserva}","{Rosé, Verdelho, Red Blend, Torrontés}",4
Stevens,{US},{Washington},"{32.0, 34.0, 35.0, 36.0, 42.0, 45.0, 15.0, 18.0, 19.0, 20.0, 21.0, 25.0, 30.0}","{87, 89, 90, 91, 92, 93, 94}","{StevensFranc, StevensDivio, StevensXY Reserve, StevensMerlot, Timley}","{Cabernet Sauvignon, Bordeaux-style Red Blend, Syrah, Cabernet Franc, Malbec}",48
Stewart,{US},{California},"{40.0, 175.0}","{90, 94}","{Hollis, Nomad Beckstoffer Las Piedras}",{Cabernet Sauvignon},2
Stickybeak,{US},{California},{20.0},{88},{Unfiltered},{Pinot Noir},1
Stift Göttweig,{Austria},"{Kremstal, Niederösterreich}","{32.0, 36.0, 42.0, 45.0, 18.0, 19.0, 23.0, 24.0, 25.0}","{89, 90, 91, 92, 93}","{Goettweiger Berg, Furth, Messwein, Silberbichl Reserve, Ried Gottschelle Reserve}","{Grüner Veltliner, Riesling}",23
Stift Klosterneuburg,{Austria},"{Thermenregion, Vienna}","{33.0, 37.0, 19.0, 22.0, 25.0}","{86, 87, 88, 89, 90, 92}","{Jungherrn, Steinfeld, Ausstich, Ausstich Tattendorf, Tattendorf}","{Weissburgunder, St. Laurent, Pinot Noir, Blaufränkisch, Red Blend}",11
Still River,{US},{Massachusetts},{25.0},{89},{Apfel Eis Apple Ice Wine},{Apple},1
Still Waters,{US},{California},"{32.0, 38.0, 40.0, 24.0, 28.0}","{86, 89, 91, 92, 93}","{Estate, Reflections of Still Waters, Reflections of Still Waters Estate Grown, Clone 3 Cuvée, Estate Grown}","{Bordeaux-style Red Blend, Cabernet Franc, Red Blend, Viognier, Syrah}",9
Stinson,{US},{Virginia},"{32.0, 26.0, 28.0, 29.0}","{88, 89, 85, 87}","{Meritage, Imperialis, Meritage Cabernet Franc-Merlot-Petit Verdot-Cabernet Sauvignon, Wildkat}","{Bordeaux-style Red Blend, Tannat, Rkatsiteli}",5
Stobi,{Macedonia},{Tikves},"{20.0, 15.0}","{89, 87}","{Macedon, Veritas}","{Pinot Noir, Vranec}",3
Stoller,{US},{Oregon},"{65.0, 35.0, 100.0, 70.0, 40.0, 45.0, 20.0, 25.0, 28.0}","{86, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{SV Estate, JV Estate, Reserve, Pinot Noir, Helen's}","{Pinot Noir, Chardonnay, Rosé, Riesling}",34
Stolo,{US},{California},"{32.0, 40.0, 42.0, 46.0, 25.0, 26.0}","{96, 88, 89, 91, 92, 93, 94}","{Estate, Creekside Estate, Hillside Reserve Estate, Estate Rosé of}","{Pinot Noir, Syrah, Sauvignon Blanc, Chardonnay}",11
Stolpman,{US},{California},"{98.0, 66.0, 68.0, 36.0, 34.0, 38.0, 42.0, 48.0, 22.0, 25.0, 30.0}","{96, 87, 90, 91, 92, 93, 94, 95}","{La Croce, Hilltops, Estate, Angeli, Originals}","{Syrah, Red Blend, Roussanne, Rhône-style Red Blend, Sangiovese-Syrah}",29
Stomennano,{Italy},{Tuscany},{48.0},{86},{Riserva},{Red Blend},1
Stomping Girl,{US},{California},"{40.0, 34.0, 28.0, 38.0}","{85, 86, 87}","{Beresini Vineyard, Hyde Vineyard, Lauterbach Hill, Unhinged, Corona Creek Vineyard}","{Pinot Noir, Chardonnay}",5
Stone Creek,{US},{California},{8.0},{85},{Special Selection},{Zinfandel},1
Stone Edge Farm,{US},{California},{30.0},{83},{Surround},{Cabernet Sauvignon},1
Stone The Crows,{US},{California},"{75.0, 85.0, 110.0, 95.0}","{92, 93, 94, 95}","{Three Twins Vineyard, Three Twins Vineyard Fallen Feather, Fallen Feather Three Twins Vineyard}",{Cabernet Sauvignon},8
Stone Wolf,{US},{Oregon},{14.0},{89},{Barrel Select Cuvée},{Pinot Noir},2
StoneCap,{US},{Washington},"{8.0, 9.0, 10.0}","{82, 83, 84, 85, 86, 87, 88, 89}",{Estate Grown},"{Chardonnay, Syrah, Riesling, Merlot, Cabernet Sauvignon}",16
Stonecroft,"{US, New Zealand}","{Oregon, Hawke's Bay}","{30.0, 23.0}","{88, 89}","{Reserve, Crofters Gimblett Gravels}","{Pinot Noir, Syrah}",2
Stonegate,{US},{California},{16.0},"{82, 84}",{Collection},"{Chardonnay, Cabernet Sauvignon}",2
Stonehaven,{Australia},{South Australia},"{29.0, 46.0}","{88, 87}",{Reserve},"{Shiraz, Chardonnay}",2
Stonehedge,{US},{California},"{35.0, 50.0, 25.0, 26.0, 30.0}","{88, 90, 91}","{Reserve, Terroir Select, Grand Reserve}","{Meritage, Chardonnay, Gewürztraminer, Zinfandel, Grenache}",6
Stonehouse,{US},{California},{18.0},{86},{Tumbas Vineyard},{Viognier},1
Stonestreet,{US},{California},"{65.0, 35.0, 100.0, 70.0, 40.0, 42.0, 75.0, 45.0, 23.0, 85.0, 55.0, 60.0}","{96, 97, 87, 88, 90, 91, 92, 93, 94, 95}","{Upper Barn, Christopher's, Estate, Broken Road, Estate Vineyards}","{Chardonnay, Cabernet Sauvignon, Sauvignon Blanc, Semillon-Sauvignon Blanc, Bordeaux-style Red Blend}",37
Stonier,{Australia},{Victoria},{40.0},"{89, 90}",{Reserve},{Pinot Noir},2
Stony Hill,{US},{California},{45.0},{92},{Estate},{Chardonnay},1
Stony Lonesome,{US},{New York},"{14.0, 15.0, 16.0, 18.0, 26.0}","{83, 84, 85, 86, 87}",{Estate Reserve},"{Grüner Veltliner, Barbera, Chardonnay, Gewürztraminer, Sauvignon Blanc}",13
Stopham Estate,{England},{England},{39.0},{89},{Brut Prestige},{Chardonnay},1
Storks' Tower,{Spain},{Northern Spain},"{10.0, 13.0, 30.0}","{82, 86}","{Tempranillo-Shiraz, Tríptico}","{Rosé, Tempranillo-Shiraz}",3
Storm,{US},{California},"{40.0, 35.0, 45.0, 55.0}","{90, 91, 92, 93, 94}","{Presqu'ile Vineyard, Le Bon Climat Vineyard, John Sebastiano VIneyard, Slide Hill Vineyard, Duvarita Vineyard}","{Pinot Noir, Sauvignon Blanc, Syrah}",9
Storrs,{US},{California},"{16.0, 42.0}","{85, 87}","{Viento Vineyard, Christie Vineyard}","{Gewürztraminer, Pinot Noir}",2
Storybook Mountain,{US},{California},"{34.0, 36.0, 40.0, 45.0, 50.0}","{90, 91, 87}","{Mayacamas Range, Estate Reserve, Eastern Exposures, Antaeus}","{Zinfandel, Red Blend}",5
Storyteller,{US},{California},{25.0},"{88, 85, 86}","{Ever After, Once Upon a Dream, Into the Fog, Got Away}","{Red Blend, Merlot, Pinot Noir, Cabernet Sauvignon}",5
Stottle,{US},{Washington},"{32.0, 33.0, 34.0, 35.0, 36.0, 18.0, 20.0, 24.0, 25.0, 28.0, 30.0, 31.0}","{84, 85, 86, 87, 88, 89, 90, 91, 94}","{6 Prong Vineyard, Elerding Vineyard, Big Eddie, Elerding 6 Prong, Lucille Late Harvest}","{Syrah, Bordeaux-style Red Blend, Viognier, Red Blend, Cabernet Sauvignon}",26
Strathewen Hills,{Australia},{Victoria},{70.0},{92},{Tribal Elder},{Shiraz},1
Stratton Lummis,{US},{California},"{28.0, 20.0}","{85, 86}",{Artist's Series},"{Cabernet Sauvignon, Chardonnay}",2
Stratus,{Canada},{Ontario},{70.0},{92},{Icewine},{Riesling},1
Strauss,{Austria},"{Steiermark, Südsteiermark}","{12.0, 15.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 24.0}","{84, 85, 86, 87, 88, 89, 90, 91, 92}","{Classic, Gamlitzberg, Strauss White, Sämling 88 Classic, Ried Gamlitzberg}","{Sauvignon Blanc, Pinot Blanc, Gelber Muskateller, Chardonnay, Austrian white blend}",22
Strehn,{Austria},"{Mittelburgenland, Burgenland}","{16.0, 21.0}",{90},"{Joseph, Classic}",{Blaufränkisch},2
Streicker,{Australia},{Western Australia},{28.0},"{84, 85}",{Bridgeland Block},"{Sauvignon Blanc-Semillon, Rosé}",2
Stroblhof,{Italy},{Northeastern Italy},"{50.0, 38.0}","{88, 89}","{Pigeno, Riserva}",{Pinot Nero},3
Stroppiana,{Italy},{Piedmont},"{100.0, 70.0, 75.0, 80.0, 50.0, 18.0, 55.0, 60.0}","{84, 85, 86, 87, 88, 89, 92}","{San Giacomo, Leonardo, Vigna San Giacomo, Gabutti Bussia, Bussia Riserva}","{Nebbiolo, Red Blend}",15
Structure,{US},{Washington},"{32.0, 35.0, 38.0, 40.0, 25.0}","{89, 91, 92}","{Foundation, Upland, Wallula, Bauhaus}","{Syrah, Cabernet Franc, Malbec, Cabernet Sauvignon}",9
Stryker Sonoma,{US},{California},"{65.0, 50.0, 45.0}","{89, 92}",{Estate},"{Cabernet Sauvignon, Petit Verdot}",3
Stuart Cellars,{US},{California},"{35.0, 40.0, 50.0, 21.0, 30.0}","{81, 82, 83, 84, 85}","{Lopez Ranch Vintners Special Select Reserve, Long Valley Red Limited Estate Reserve, Limited Reserve, Limited Bottling, Tatria Vintner's Limited Reserve}","{Meritage, Zinfandel, Syrah, Viognier}",6
Studert-Prüm,{Germany},{Mosel},"{24.0, 25.0, 27.0, 23.0}","{89, 90, 91}","{Wehlener Sonnenuhr Spätlese, Bernkasteler Badstube Kabinett, Wehlener Sonnenuhr Kabinett}",{Riesling},5
Stuessy Cellars,{US},{California},"{26.0, 23.0}",{87},"{Principium Cuvee, My Sweet Petite}","{Red Blend, Petite Sirah}",2
Stuhlmuller Vineyards,{US},{California},"{65.0, 38.0, 40.0, 42.0, 23.0, 24.0, 25.0, 58.0, 28.0}","{84, 86, 87, 88, 89, 90, 91, 92}","{Estate, Reserve, Rogers Schoolhouse Estate, Cooper Block Starr Ridge, Estate  Reserve}","{Chardonnay, Cabernet Sauvignon, Zinfandel, Pinot Noir}",16
Stylo,{Spain},{Northern Spain},"{11.0, 20.0}","{83, 87}",{Old Vines},{Garnacha},2
Styring,{US},{Oregon},"{35.0, 100.0, 40.0, 45.0, 20.0}","{96, 85, 87, 88, 89, 92, 93, 94}","{Signature, Estate, Shameless, Reckless, Afterglow Dessert}","{Pinot Noir, Riesling, Cabernet Sauvignon, Bordeaux-style Red Blend, Red Blend}",14
Stéphane Aviron,{France},{Beaujolais},"{24.0, 19.0, 21.0}","{90, 91, 92, 93, 94}","{Vieilles Vignes, Côte du Py Vieilles Vignes, Domaine de la Madrière}",{Gamay},7
SuLei,{US},{Washington},"{32.0, 36.0, 14.0, 18.0, 19.0, 26.0}","{85, 86, 87, 88, 89, 90}","{Les Collines Vineyard, Beet Red, Dona Rae, Roller Girl Pivot Blanc, Roller Girl Jammer Red}","{Bordeaux-style Red Blend, Red Blend, Riesling, Cabernet Sauvignon, Sauvignon Blanc}",9
Suacci Carciere Wines,{US},{California},"{48.0, 42.0, 45.0}","{86, 90, 91, 92, 93}","{Heintz Vineyard, Suacci Vineyard}","{Chardonnay, Pinot Noir}",7
Suavia,{Italy},"{Veneto, Italy Other}","{33.0, 34.0, 35.0, 44.0, 45.0, 50.0, 55.0, 30.0}","{86, 88, 89, 90, 91}","{Massifitti, Le Rive, Monte Carbonare, Acinatium, Opera Semplice}","{Garganega, Trebbiano}",16
Suberli,{Italy},{Tuscany},"{32.0, 25.0, 17.0, 30.0}","{88, 89, 91}",{Riserva},"{Red Blend, Sangiovese}",6
Substance,{US},{Washington},"{75.0, 45.0, 17.0, 18.0, 20.0, 55.0}","{86, 87, 88, 89, 90, 92, 93, 94}","{Cs, Mb, Cf, Super Substance Cs Jack's Vineyard, Super Substance Cs Stoneridge Vineyard}","{Cabernet Sauvignon, Merlot, Malbec, Cabernet Franc, Sauvignon Blanc}",14
Suertes del Marqués,{Spain},{Spanish Islands},"{21.0, 45.0, 22.0}","{88, 91, 92}","{Trenzado, Los Pasitos, El Ciruelo Viñas Viejas, 7 Fuentes}","{White Blend, Babosa Negro, Listán Negro, Red Blend}",5
Sugrue Pierre Ltd.,{England},{England},{80.0},{95},{The Trouble with Dreams},{Sparkling Blend},1
Suha Punta,{Croatia},{North Dalmatia},"{60.0, 39.0}","{88, 89}","{Gracin, Tirada}",{Babić},2
Suhru,{US},{New York},"{16.0, 17.0, 19.0, 20.0}","{88, 89, 86}","{Dry, Ember, Red}","{Riesling, Bordeaux-style Red Blend, Red Blend}",7
Sula,{India},{Nashik},"{13.0, 19.0, 20.0, 12.0}","{90, 91, 92, 93}","{Dindori Reserve, Estate Bottled}",{Shiraz},4
Sullivan,{US},{California},{55.0},{92},{Estate},{Cabernet Sauvignon},1
Sultry Cellars,{US},{Arizona},{54.0},{86},{Inked},{Red Blend},1
Sumarroca,{Spain},{Catalonia},"{12.0, 13.0, 14.0, 15.0, 18.0, 22.0, 30.0}","{85, 86, 87, 88, 89, 90}","{Brut Nature Gran Reserva, Brut Reserva, Yá Cuvée 23 Brut Rosé, Brut Reserva Cava, Estate Bottled Dry}","{Sparkling Blend, Muscat, Chardonnay}",10
Summerer,{Austria},{Kamptal},"{44.0, 16.0, 17.0, 18.0, 28.0}","{86, 88, 89, 91, 92}","{Steinhaus, Schenkenbichl Reserve, Langenlois, Käferberg, Urgestein}","{Grüner Veltliner, Riesling}",5
Summerland,{US},{California},"{34.0, 35.0, 36.0, 40.0, 45.0, 60.0, 80.0, 50.0, 25.0, 28.0, 30.0}","{84, 85, 88, 89, 90, 91, 92, 94}","{Wolff Vineyard, Vintners Select, Vintner's Select, Happy Canyon, Theresa Noelle Estate Proprietor's Reserve}","{Pinot Noir, Chardonnay, Cabernet Sauvignon, Syrah, Sparkling Blend}",19
Summers,{US},{California},"{32.0, 65.0, 34.0, 160.0, 100.0, 40.0, 44.0, 45.0, 140.0, 50.0, 20.0, 56.0, 28.0, 30.0}","{84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Reserve, Checkmate, Andriana's Cuvee, Villa Andriana Vineyard, Stuhlmuller Vineyards Reserve}","{Cabernet Sauvignon, Zinfandel, Merlot, Chardonnay, Charbono}",36
Summerwood,{US},{California},"{40.0, 75.0, 45.0, 55.0, 58.0, 60.0}","{83, 84, 85, 86, 88, 92, 93}","{Diosa, Senito, Alta Colina Vineyard, Diosa Blanc, Reserve}","{Rhône-style Red Blend, Bordeaux-style Red Blend, Rhône-style White Blend, G-S-M, Cabernet Sauvignon}",9
Summit Lake,{US},{California},"{65.0, 45.0, 55.0, 26.0, 30.0}","{85, 86, 87, 91, 92}","{Emily Kestrel, Estate Bottled, Sophia Lynn Estate, Claire Riley's Pirate Reserve, Clair Riley's Pirate Reserve Port}","{Zinfandel, Cabernet Sauvignon, Petite Sirah}",7
Sun Garden,{Germany},{Rheinhessen},{11.0},{86},{Sweet Red},{Dornfelder},1
Sunbox Eleven,{US},{California},"{33.0, 42.0}",{85},"{The Maverick Alder Springs Vineyard, The Nice Catie's Corner Vineyard}","{Rhône-style White Blend, Viognier}",2
Suncé Vineyard & Winery,{US},{California},"{65.0, 44.0, 48.0, 50.0, 20.0}","{84, 85, 86, 87}","{Winemaker's Reserve Zora's Estate Vineyard, Les Trois Amis, Winemaker's Reserve, Meritage Quintessential, Capp Vineyard}","{Meritage, Cabernet Sauvignon, Pinot Noir, Red Blend, Malvasia Bianca}",7
Sundance,{Chile},{Maule Valley},{12.0},"{82, 83, 85}",{Reserva},"{Cabernet Sauvignon, Sauvignon Blanc}",3
Sunfire,{US},{California},{45.0},{81},{I},{Red Blend},2
Sunset Hills,{US},{Virginia},"{32.0, 50.0, 24.0, 25.0, 26.0}","{85, 87}","{Reserve, Estate Club Select, Mosaic}","{Chardonnay, Cabernet Franc, Petit Manseng, Red Blend}",5
Sunstone,{US},{California},"{32.0, 26.0, 38.0, 42.0, 45.0, 48.0, 52.0, 85.0, 56.0, 58.0, 28.0, 93.0}","{80, 83, 84, 85, 86, 87, 88, 91}","{Estate, Reserve, Syrah, Rapsodie Du Soleil, Estate Bottled Reserve}","{Syrah, Rosé, Bordeaux-style Red Blend, Rhône-style Red Blend, Chardonnay}",17
Super Hero,{US},{California},{18.0},{84},{Inzinerator},{Zinfandel},1
Superuco,{Argentina},{Mendoza Province},"{40.0, 100.0}","{89, 91, 92}","{Michelini Sammartino Calcáreo Coluvio de Altamira, Michelini Sammartino, Calcáreo Coluvio de Altamira, Michelini Sammartino Calcáreo Rio de los Chacayes, Michelini Sammartino Calcáreo Granito de Tupungato}","{Malbec, Malbec-Cabernet Franc}",5
Sur de los Andes,{Argentina},{Mendoza Province},"{32.0, 38.0, 13.0, 15.0, 20.0, 24.0, 28.0, 30.0}","{86, 87, 88, 89, 90, 91, 92}","{Reserva, Gran Reserva, Premium, Clásico, Premium Blend}","{Malbec, Cabernet Sauvignon, Malbec-Cabernet Sauvignon, Red Blend}",14
Surh Luchtel,{US},{California},"{60.0, 30.0, 23.0}","{94, 92, 86}","{Mosaic, Sacrashe Vineyard, Page Nord Vineyard}","{Cabernet Sauvignon-Merlot, Cabernet Sauvignon, Syrah}",3
Susana Balbo,{Argentina},"{Mendoza Province, Other}","{12.0, 20.0, 15.0}","{88, 84, 86}","{Crios, Crios Rosé of, Signature Barrel Fermented}","{Torrontés, Malbec}",5
Sutcliffe,{US},"{Colorado, California}","{35.0, 38.0, 40.0, 80.0, 30.0}","{83, 85, 86, 87, 88}","{Signature Castillo Vineyard, Field Blend, Old Vine Field Blend, Ael y Bryn, Trawsfynydd}","{Red Blend, Chardonnay, Cabernet Sauvignon, Bordeaux-style Red Blend}",8
Sutil,{Chile},{Limarí Valley},{13.0},{84},{Canto de Piedra Reserva},{Chardonnay},1
Sutro,{US},{California},"{35.0, 47.0}","{90, 86}",{Warnecke Ranch},"{Merlot, Cabernet Sauvignon}",2
Suvla,{Turkey},{Thrace},"{17.0, 15.0, 29.0, 39.0}","{88, 89, 90, 87}","{Reserve Single Vineyard Bozokbag, Kirte Cabernet Sauvignon-Syrah-Petit Verdot, Sir, Sur Single Vineyard Bozokbag Barrel Aged, Cabernet Sauvignon-Cabernet Franc}","{Red Blend, Rosé, Cabernet Sauvignon, Syrah, Bordeaux-style Red Blend}",8
Svago Buono,{US},{California},{39.0},{89},{Grazia Late Harvest},{White Blend},1
Swanson,{US},{California},"{70.0, 75.0, 140.0, 45.0, 60.0}","{85, 86, 87, 88, 90, 91, 92}","{Alexis, Instant Napa, Salon Wine Selection, Angelica}","{Cabernet Sauvignon, Mission, Chardonnay, Sangiovese}",12
Swedish Hill,{US},{New York},"{14.0, 16.0, 17.0, 22.0, 23.0, 25.0}","{83, 84, 85, 86, 87, 89}","{Optimus, Reserve, Dry, Optiumus, Humphreys Vineyard}","{Riesling, Bordeaux-style Red Blend, Red Blend, Chardonnay, Sparkling Blend}",15
Sweet Cheeks,{US},{Oregon},"{65.0, 45.0, 18.0, 23.0, 25.0, 28.0, 63.0}","{82, 84, 85, 86, 87, 90}","{Barrel Select, Vintner's Reserve, Vintner's Reserve Wild Child Block, Pinot Fusion, Limited Edition Winemaker Series}","{Pinot Noir, Syrah, Tempranillo, Red Blend, Merlot}",10
Sweet Valley Wines,{US},{Washington},{20.0},{85},{Double Barrel Red Blend},{Red Blend},1
Sweetzer Cellars,{US},{California},"{40.0, 45.0, 55.0}","{89, 91, 92, 94}","{Presqu'ile Vineyard, Rita's Crown Vineyard, La Encantada Vineyard}","{Pinot Noir, Chardonnay}",4
Swick,{US},"{Oregon, Washington}","{20.0, 22.0, 39.0}","{90, 87}","{Cancilla Vineyard Ken's POM, Fairsing Vineyard, Terre Brûlée, Cancilla Vineyard Blanc de Noir}","{Pinot Noir, Grenache}",4
Swiftwater Cellars,{US},{Washington},"{32.0, 35.0, 38.0, 42.0, 50.0, 18.0, 20.0, 85.0, 22.0, 25.0}","{86, 87, 88, 89, 90, 91}","{Proprietary, Zephyr Ridge Estate Bottled, Zephyr Ridge, Olsen Vineyard, Reserve}","{Bordeaux-style Red Blend, Cabernet Sauvignon, Riesling, Chardonnay, Bordeaux-style White Blend}",27
Swirl,{US},{California},{18.0},"{84, 85}",{Lockwood Oaks Vineyard},{Malbec},2
Switchback Ridge,{US},{California},{48.0},{92},{Peterson Family Vineyard},{Merlot},2
Syan,{Australia},{Victoria},"{40.0, 25.0}","{88, 81}","{Reserve, Tradition}","{Cabernet Sauvignon-Shiraz, Red Blend}",2
Sylla Sebaste,{Italy},{Piedmont},{39.0},{88},{Bussia},{Nebbiolo},1
Sylvaine et Alain Normand,{France},{Burgundy},{42.0},{88},{Les Crays},{Chardonnay},1
Sylvester,{US},{California},"{25.0, 29.0, 30.0}","{91, 84, 87}","{Le Vigne di San Domenico, Nikiara, Port}","{Bordeaux-style Red Blend, Syrah, Cabernet Sauvignon, Petite Sirah}",4
Sylvestra,{Argentina},{Mendoza Province},{25.0},{87},{Brut Nature Rosé},{Champagne Blend},1
Symington Family Estates,{Portugal},{Douro},"{8.0, 9.0, 10.0, 11.0, 13.0, 16.0, 17.0, 24.0, 25.0}","{84, 86, 87, 89, 90, 91}","{Altano, Altano Quinta do Ataíde Reserva, Altano Reserva, Altano Quinta da Ataíde Reserva, Altano Organically Farmed Vineyard}","{Portuguese Red, Portuguese White, Touriga Nacional}",16
Syncline,{US},"{Washington, Oregon}","{35.0, 40.0, 45.0, 18.0, 50.0, 20.0, 22.0, 24.0, 25.0, 26.0, 60.0, 30.0}","{87, 88, 89, 90, 91, 92, 93, 94, 95}","{Boushey Vineyard, McKinley Springs Vineyard, Subduction, Cuvée Elena, Underwood Mountain Vineyard}","{Syrah, Rhône-style Red Blend, Red Blend, Grüner Veltliner, Grenache Blanc}",45
Syrahmi,{Australia},{Victoria},{32.0},{92},{Demi by Syrahmi},{Shiraz},1
Syzygy,{US},{Washington},{45.0},"{91, 92}","{Saros 154, Saros 139 Red}",{Red Blend},2
Szigeti,{Austria},{Österreichischer Sekt},"{25.0, 20.0, 22.0, 30.0}","{86, 87, 88, 89, 90, 91}","{Brut, Edition Adele Blanc de Blancs Brut, Brut Rosé, Spitzer Graben Brut, Rosé Brut}","{Sparkling Blend, Pinot Noir, Austrian white blend, Grüner Veltliner, Riesling}",11
Sàniger,{Spain},{Catalonia},"{10.0, 12.0}",{86},"{Brut, Brut Nature Reserva}",{Sparkling Blend},2
Séamus Wines,{US},{California},"{88.0, 57.0, 29.0}","{88, 86, 87}","{Doctor's Vineyard, Shannon Wood Vineyard, Atwood Ranch Vineyard Reserve}","{Pinot Noir, Sauvignon Blanc, Cabernet Sauvignon}",4
T'Jara,{US},{New York},"{34.0, 35.0, 30.0}","{89, 85, 87}",{Reserve},"{Red Blend, Bordeaux-style Red Blend}",3
T.A.T.T,{US},{Washington},{18.0},{89},{Tried and True Liberty},{Red Blend},1
T.W. Fermentation,{US},{California},{64.0},{91},{Straight Cab},{Cabernet Sauvignon},2
TAO,{US},{California},"{26.0, 42.0}","{88, 86}","{Awakening, Eternal Bliss}","{Sangiovese, Cabernet Sauvignon}",2
TH,{US},{California},"{80.0, 55.0}","{89, 94}","{The 46, Three-Four, The Pick}","{Grenache-Syrah, Syrah, Rhône-style Red Blend}",3
THP,{US},{Texas},{20.0},{85},{Stampede},{Red Blend},1
TR Elliott,{US},{California},"{42.0, 44.0, 46.0}","{91, 92, 93, 94}","{Burgonet, Three Plumes, Queste}",{Pinot Noir},5
Taba,{Italy},{Southern Italy},"{19.0, 13.0}","{85, 87}","{F, G}","{Falanghina, Greco}",2
Tabarrini,{Italy},{Central Italy},"{68.0, 77.0, 21.0, 55.0, 30.0}","{84, 87, 88, 89, 90}","{Colle alle Macchie, Colle Grimaldesco, Adarmando, Campo alla Cerqua, Bocca di Rosa}","{Sagrantino, Trebbiano Spoletino}",8
Tablas Creek,{US},{California},"{35.0, 40.0, 45.0, 20.0, 55.0, 25.0, 27.0, 30.0}","{85, 86, 87, 88, 89, 90, 91, 92, 93}","{Patelin de Tablas, Patelin de Tablas Blanc, Côtes de Tablas Blanc, Côtes de Tablas Estate Grown & Bottled, Estate}","{Rhône-style Red Blend, Rhône-style White Blend, Rosé, Vermentino, Mourvèdre}",40
